"URL","Anchor","Placement","Type","DoFollow","HTTP Status"
"https://www.techguru.in.net/index.html","Tech Guru","header","internal",true,200
"https://www.techguru.in.net/index.html","Home","header","internal",true,200
"https://www.techguru.in.net/tech-news.html","Tech News","header","internal",true,404
"https://www.techguru.in.net/innovation.html","Innovation","header","internal",true,404
"https://www.techguru.in.net/reviews.html","Reviews","header","internal",true,404
"https://www.techguru.in.net/contact-us.html","Contact","header","internal",true,200
"https://www.techguru.in.net/index.html","Home","header","internal",true,200
"https://www.techguru.in.net/tech-news.html","Tech News","header","internal",true,404
"https://www.techguru.in.net/innovation.html","Innovation","header","internal",true,404
"https://www.techguru.in.net/reviews.html","Reviews","header","internal",true,404
"https://www.techguru.in.net/contact.html","Contact","header","internal",true,404
"https://www.techguru.in.net/blogpage/Llama.html","Unlocking the Potential of Meta's Llama 2 AI Model","text","internal",true,200
"https://www.techguru.in.net/index.html","Home","footer","internal",true,200
"https://www.techguru.in.net/tech-news.html","Tech News","footer","internal",true,404
"https://www.techguru.in.net/innovation.html","Innovation","footer","internal",true,404
"https://www.techguru.in.net/reviews.html","Reviews","footer","internal",true,404
"https://www.techguru.in.net/contact-us.html","Contact Us","footer","internal",true,200
